nt n SUN kernel bw
7 40 SUN-internal MatMulTmp 109.3175
7 40 SUN-internal MatMulInter 94.1841
7 40 SUN-internal conjMatMul 109.2422
7 40 SUN-internal HalfStaple 205.9489
7 40 SUN-internal Plaquette 59.7794
7 40 SUN-internal Plaquette-Kernel 53.4725
7 40 SUN-internal Plaquette-Notrace 48.4828
7 40 SUN-internal Plaquette-Trace 768.5284
7 40 SUN-internal Plaquette-NotraceTrace 51.9051
7 40 SUN-array MatMul 452.4659
7 40 SUN-array conjMatMul 424.8727
7 40 SUN-array HalfStaple 370.9315
7 40 SUN-array Plaquette 60.7492
7 40 SUN-array Plaquette-Kernel 58.0966
7 40 SUN-array Plaquette-Notrace 69.0692
7 40 SUN-array Plaquette-Trace 366.6440
7 40 SUN-array Plaquette-NotraceTrace 71.2917
7 44 mu-external MatMul 281.4776
7 44 mu-external MatMulTmp 119.5051
7 44 mu-external MatMulInter 101.3013
7 44 mu-external conjMatMul 119.0104
7 44 mu-external HalfStaple 334.8639
7 44 mu-external Plaquette 39.4901
7 44 SUN-internal MatMul 281.5805
7 44 SUN-internal MatMulTmp 120.0398
7 44 SUN-internal MatMulInter 102.0488
7 44 SUN-internal conjMatMul 120.0925
7 44 SUN-internal HalfStaple 218.3041
7 44 SUN-internal Plaquette 50.5922
7 44 SUN-internal Plaquette-Kernel 39.7143
7 44 SUN-internal Plaquette-Notrace 47.8603
7 44 SUN-internal Plaquette-Trace 851.7230
7 44 SUN-internal Plaquette-NotraceTrace 51.2544
7 44 SUN-array MatMul 447.3144
7 44 SUN-array conjMatMul 417.3344
7 44 SUN-array HalfStaple 366.6443
7 44 SUN-array Plaquette 57.1099
7 44 SUN-array Plaquette-Kernel 54.7214
7 44 SUN-array Plaquette-Notrace 67.1723
7 44 SUN-array Plaquette-Trace 484.8766
7 44 SUN-array Plaquette-NotraceTrace 69.1078
7 48 mu-external MatMul 400.3783
7 48 mu-external MatMulTmp 150.7545
7 48 mu-external MatMulInter 131.4691
7 48 mu-external conjMatMul 150.3613
7 48 mu-external HalfStaple 403.9698
7 48 mu-external Plaquette 69.4888
7 48 SUN-internal MatMul 400.6250
7 48 SUN-internal MatMulTmp 151.1502
7 48 SUN-internal MatMulInter 131.7132
7 48 SUN-internal conjMatMul 151.4900
7 48 SUN-internal HalfStaple 267.3232
7 48 SUN-internal Plaquette 78.2964
7 48 SUN-internal Plaquette-Kernel 69.4747
7 48 SUN-internal Plaquette-Notrace 63.9413
7 48 SUN-internal Plaquette-Trace 1049.0509
7 48 SUN-internal Plaquette-NotraceTrace 68.6281
7 48 SUN-array MatMul 438.8972
7 48 SUN-array conjMatMul 411.4502
7 48 SUN-array HalfStaple 403.7005
7 48 SUN-array Plaquette 63.3575
7 48 SUN-array Plaquette-Kernel 60.2754
7 48 SUN-array Plaquette-Notrace 71.9492
7 48 SUN-array Plaquette-Trace 616.0623
7 48 SUN-array Plaquette-NotraceTrace 73.8982
7 52 mu-external MatMul 296.2692
7 52 mu-external MatMulTmp 109.9368
7 52 mu-external MatMulInter 94.6314
7 52 mu-external conjMatMul 109.6380
7 52 mu-external HalfStaple 342.3937
7 52 mu-external Plaquette 37.8766
7 52 SUN-internal MatMul 294.2953
7 52 SUN-internal MatMulTmp 110.5077
7 52 SUN-internal MatMulInter 94.8673
7 52 SUN-internal conjMatMul 110.4108
7 52 SUN-internal HalfStaple 207.0440
7 52 SUN-internal Plaquette 49.9059
7 52 SUN-internal Plaquette-Kernel 37.7321
7 52 SUN-internal Plaquette-Notrace 45.4494
7 52 SUN-internal Plaquette-Trace 934.4490
7 52 SUN-internal Plaquette-NotraceTrace 48.7465
7 52 SUN-array MatMul 452.3534
7 52 SUN-array conjMatMul 425.7991
7 52 SUN-array HalfStaple 369.8928
7 52 SUN-array Plaquette 57.2978
7 52 SUN-array Plaquette-Kernel 55.4641
7 52 SUN-array Plaquette-Notrace 70.1660
7 52 SUN-array Plaquette-Trace 660.7765
7 52 SUN-array Plaquette-NotraceTrace 72.3234
7 56 mu-external MatMul 313.3470
7 56 mu-external MatMulTmp 115.0165
7 56 mu-external MatMulInter 98.4067
7 56 mu-external conjMatMul 114.8943
7 56 mu-external HalfStaple 356.0974
7 56 mu-external Plaquette 55.7682
7 56 SUN-internal MatMul 311.9663
7 56 SUN-internal MatMulTmp 115.2022
7 56 SUN-internal MatMulInter 98.2393
7 56 SUN-internal conjMatMul 115.4721
7 56 SUN-internal HalfStaple 217.1059
7 56 SUN-internal Plaquette 62.7364
7 56 SUN-internal Plaquette-Kernel 55.8037
7 56 SUN-internal Plaquette-Notrace 50.2305
7 56 SUN-internal Plaquette-Trace 970.0448
7 56 SUN-internal Plaquette-NotraceTrace 53.8285
7 56 SUN-array MatMul 441.5510
7 56 SUN-array conjMatMul 416.1044
7 56 SUN-array HalfStaple 367.9288
7 56 SUN-array Plaquette 62.8736
7 56 SUN-array Plaquette-Kernel 60.0450
