nt n SUN kernel bw
32 48 internal MatMulInter 543.1062
32 48 internal conjMatMul 1148.0006
32 48 internal HalfStaple 1134.2090
32 48 internal Plaquette 434.4548
32 48 internal Plaquette_Kernel 448.9851
32 48 internal Plaquette_Notrace 629.2847
32 48 internal Plaquette_Trace 993.0277
32 48 internal Plaquette_NotraceTrace 640.0847
32 48 array MatMul 900.6594
32 48 array conjMatMul 924.5152
32 48 array HalfStaple 1180.2120
32 48 array Plaquette 450.8188
32 48 array Plaquette_Kernel 486.1507
32 48 array Plaquette_Notrace 775.6689
32 48 array Plaquette_Trace 410.0489
32 48 array Plaquette_NotraceTrace 795.6429
32 52 internal MatMul 1038.3344
32 52 internal MatMulTmp 1170.1139
32 52 internal MatMulInter 424.9798
32 52 internal conjMatMul 1165.1264
32 52 internal HalfStaple 1042.5408
32 52 internal Plaquette 355.3250
32 52 internal Plaquette_Kernel 363.6065
32 52 internal Plaquette_Notrace 533.0816
32 52 internal Plaquette_Trace 900.6417
32 52 internal Plaquette_NotraceTrace 550.2575
32 52 array MatMul 943.5336
32 52 array conjMatMul 966.5495
32 52 array HalfStaple 1206.3908
32 52 array Plaquette 383.2891
32 52 array Plaquette_Kernel 414.3122
32 52 array Plaquette_Notrace 753.3872
32 52 array Plaquette_Trace 353.3110
32 52 array Plaquette_NotraceTrace 769.4127
32 56 internal MatMul 1072.1544
32 56 internal MatMulTmp 1200.0326
32 56 internal MatMulInter 505.8041
32 56 internal conjMatMul 1197.7000
32 56 internal HalfStaple 1117.5123
32 56 internal Plaquette 381.8337
32 56 internal Plaquette_Kernel 390.5346
32 56 internal Plaquette_Notrace 573.8968
32 56 internal Plaquette_Trace 972.6592
32 56 internal Plaquette_NotraceTrace 594.5091
32 56 array MatMul 940.6255
32 56 array conjMatMul 963.1403
32 56 array HalfStaple 1217.2846
32 56 array Plaquette 404.8834
32 56 array Plaquette_Kernel 435.1140
32 56 array Plaquette_Notrace 780.3366
32 56 array Plaquette_Trace 384.3533
32 56 array Plaquette_NotraceTrace 798.2470
32 60 internal MatMul 1003.6667
32 60 internal MatMulTmp 1129.1055
32 60 internal MatMulInter 460.7937
32 60 internal conjMatMul 1135.9646
32 60 internal HalfStaple 1097.9811
32 60 internal Plaquette 404.1025
32 60 internal Plaquette_Kernel 416.6731
32 60 internal Plaquette_Notrace 576.3420
32 60 internal Plaquette_Trace 1018.7895
32 60 internal Plaquette_NotraceTrace 594.7920
32 60 array MatMul 924.5771
32 60 array conjMatMul 947.6964
32 60 array HalfStaple 1201.3366
32 60 array Plaquette 422.0346
32 60 array Plaquette_Kernel 454.0621
32 60 array Plaquette_Notrace 777.2973
32 60 array Plaquette_Trace 415.0387
32 60 array Plaquette_NotraceTrace 798.5524
32 64 internal MatMul 1053.0984
32 64 internal MatMulTmp 1188.0855
32 64 internal MatMulInter 544.7079
32 64 internal conjMatMul 1190.9382
32 64 internal HalfStaple 1182.9452
32 64 internal Plaquette 422.0185
32 64 internal Plaquette_Kernel 437.5844
32 64 internal Plaquette_Notrace 632.2115
32 64 internal Plaquette_Trace 1081.8078
32 64 internal Plaquette_NotraceTrace 638.6612
32 64 array MatMul 909.7289
32 64 array conjMatMul 934.9452
32 64 array HalfStaple 1182.5823
32 64 array Plaquette 445.1086
32 64 array Plaquette_Kernel 477.0585
32 64 array Plaquette_Notrace 779.1525
32 64 array Plaquette_Trace 445.3682
32 64 array Plaquette_NotraceTrace 803.7375
32 68 internal MatMul 1011.0456
32 68 internal MatMulTmp 1142.1251
32 68 internal MatMulInter 434.6552
32 68 internal conjMatMul 1143.7161
32 68 internal HalfStaple 1061.2334
32 68 internal Plaquette 368.0093
32 68 internal Plaquette_Kernel 375.7807
32 68 internal Plaquette_Notrace 532.6117
32 68 internal Plaquette_Trace 970.7482
32 68 internal Plaquette_NotraceTrace 551.3786
32 68 array MatMul 939.1700
32 68 array conjMatMul 961.2021
32 68 array HalfStaple 1181.2746
32 68 array Plaquette 397.0654
32 68 array Plaquette_Kernel 426.6981
32 68 array Plaquette_Notrace 756.6943
32 68 array Plaquette_Trace 386.1724
32 68 array Plaquette_NotraceTrace 775.1759
