nt n SUN kernel bw
128 4 array Plaquette_Notrace 4.2655
128 4 array Plaquette_Trace 0.1156
128 4 array Plaquette_NotraceTrace 2.3540
128 6 internal MatMul 61.4231
128 6 internal MatMulTmp 64.4828
128 6 internal MatMulInter 64.2977
128 6 internal conjMatMul 64.5014
128 6 internal HalfStaple 16.9607
128 6 internal Plaquette 14.8379
128 6 internal Plaquette_Kernel 14.2840
128 6 internal Plaquette_Notrace 16.4438
128 6 internal Plaquette_Trace 1.7029
128 6 internal Plaquette_NotraceTrace 10.2666
128 6 array MatMul 62.7659
128 6 array conjMatMul 60.2159
128 6 array HalfStaple 16.3897
128 6 array Plaquette 11.8454
128 6 array Plaquette_Kernel 9.3068
128 6 array Plaquette_Notrace 16.3738
128 6 array Plaquette_Trace 0.5686
128 6 array Plaquette_NotraceTrace 10.0590
128 8 internal MatMul 163.3861
128 8 internal MatMulTmp 177.5242
128 8 internal MatMulInter 176.0669
128 8 internal conjMatMul 176.8588
128 8 internal HalfStaple 50.8908
128 8 internal Plaquette 36.3354
128 8 internal Plaquette_Kernel 34.2423
128 8 internal Plaquette_Notrace 38.2391
128 8 internal Plaquette_Trace 5.2837
128 8 internal Plaquette_NotraceTrace 26.5021
128 8 array MatMul 174.7195
128 8 array conjMatMul 161.6288
128 8 array HalfStaple 50.3693
128 8 array Plaquette 27.0872
128 8 array Plaquette_Kernel 19.7977
128 8 array Plaquette_Notrace 38.9857
128 8 array Plaquette_Trace 1.7551
128 8 array Plaquette_NotraceTrace 26.7312
128 10 internal MatMul 321.1896
128 10 internal MatMulTmp 353.4537
128 10 internal MatMulInter 345.3928
128 10 internal conjMatMul 346.3620
128 10 internal HalfStaple 104.2723
128 10 internal Plaquette 65.3283
128 10 internal Plaquette_Kernel 61.5582
128 10 internal Plaquette_Notrace 70.7724
128 10 internal Plaquette_Trace 12.6150
128 10 internal Plaquette_NotraceTrace 53.2446
128 10 array MatMul 332.8197
128 10 array conjMatMul 312.6413
128 10 array HalfStaple 106.8249
128 10 array Plaquette 46.0616
128 10 array Plaquette_Kernel 33.4960
128 10 array Plaquette_Notrace 70.2228
128 10 array Plaquette_Trace 4.3197
128 10 array Plaquette_NotraceTrace 52.3772
128 12 internal MatMul 437.1385
128 12 internal MatMulTmp 498.5642
128 12 internal MatMulInter 508.8300
128 12 internal conjMatMul 493.4151
128 12 internal HalfStaple 157.3779
128 12 internal Plaquette 66.9428
128 12 internal Plaquette_Kernel 60.1710
128 12 internal Plaquette_Notrace 76.9365
128 12 internal Plaquette_Trace 6.5439
128 12 internal Plaquette_NotraceTrace 23.6677
128 12 array MatMul 504.5312
128 12 array conjMatMul 438.0417
128 12 array HalfStaple 191.4911
128 12 array Plaquette 43.1065
128 12 array Plaquette_Kernel 27.9501
128 12 array Plaquette_Notrace 78.2349
128 12 array Plaquette_Trace 8.7540
128 12 array Plaquette_NotraceTrace 68.1661
128 16 internal MatMul 843.1703
128 16 internal MatMulTmp 1007.4389
128 16 internal MatMulInter 1045.5748
128 16 internal conjMatMul 1012.9357
128 16 internal HalfStaple 338.2503
128 16 internal Plaquette 137.4080
128 16 internal Plaquette_Kernel 126.7629
128 16 internal Plaquette_Notrace 144.0194
128 16 internal Plaquette_Trace 16.4904
128 16 internal Plaquette_NotraceTrace 66.2248
128 16 array MatMul 1000.9387
128 16 array conjMatMul 870.3882
128 16 array HalfStaple 445.4303
128 16 array Plaquette 90.1546
128 16 array Plaquette_Kernel 47.7541
128 16 array Plaquette_Notrace 140.9420
128 16 array Plaquette_Trace 25.3340
128 16 array Plaquette_NotraceTrace 131.6952
128 20 internal MatMul 590.3151
128 20 internal MatMulTmp 980.9090
128 20 internal MatMulInter 1009.7107
128 20 internal conjMatMul 984.2649
128 20 internal HalfStaple 252.5476
128 20 internal Plaquette 34.4111
128 20 internal Plaquette_Kernel 37.1681
128 20 internal Plaquette_Notrace 59.0527
128 20 internal Plaquette_Trace 13.3905
128 20 internal Plaquette_NotraceTrace 36.6946
128 20 array MatMul 549.1271
128 20 array conjMatMul 742.9841
128 20 array HalfStaple 307.9926
128 20 array Plaquette 33.5997
128 20 array Plaquette_Kernel 31.6974
128 20 array Plaquette_Notrace 66.3855
128 20 array Plaquette_Trace 32.7157
128 20 array Plaquette_NotraceTrace 59.2856
128 24 internal MatMul 272.4214
128 24 internal MatMulTmp 314.8245
128 24 internal MatMulInter 377.7453
128 24 internal conjMatMul 389.1373
128 24 internal HalfStaple 227.3120
128 24 internal Plaquette 42.1668
128 24 internal Plaquette_Kernel 46.2241
128 24 internal Plaquette_Notrace 43.2371
128 24 internal Plaquette_Trace 14.2409
128 24 internal Plaquette_NotraceTrace 35.5753
128 24 array MatMul 280.1545
128 24 array conjMatMul 328.5472
128 24 array HalfStaple 230.9119
128 24 array Plaquette 40.8266
128 24 array Plaquette_Kernel 40.0766
128 24 array Plaquette_Notrace 43.4171
128 24 array Plaquette_Trace 27.5005
128 24 array Plaquette_NotraceTrace 49.4862
128 28 internal MatMul 233.2718
128 28 internal MatMulTmp 214.8257
128 28 internal MatMulInter 214.8730
128 28 internal conjMatMul 215.3641
128 28 internal HalfStaple 172.2527
128 28 internal Plaquette 66.1698
128 28 internal Plaquette_Kernel 60.1228
128 28 internal Plaquette_Notrace 56.1844
128 28 internal Plaquette_Trace 28.4225
128 28 internal Plaquette_NotraceTrace 49.5961
128 28 array MatMul 234.3470
128 28 array conjMatMul 204.4315
128 28 array HalfStaple 176.2791
128 28 array Plaquette 54.6875
128 28 array Plaquette_Kernel 42.3180
128 28 array Plaquette_Notrace 50.8828
128 28 array Plaquette_Trace 28.0801
128 28 array Plaquette_NotraceTrace 58.7413
128 32 internal MatMul 226.5518
128 32 internal MatMulTmp 217.2838
128 32 internal MatMulInter 216.9113
128 32 internal conjMatMul 217.1161
128 32 internal HalfStaple 146.8173
128 32 internal Plaquette 71.5695
128 32 internal Plaquette_Kernel 65.5754
128 32 internal Plaquette_Notrace 61.5400
128 32 internal Plaquette_Trace 47.0591
128 32 internal Plaquette_NotraceTrace 47.0087
128 32 array MatMul 236.9842
128 32 array conjMatMul 217.6111
